,Highest_Charting_Position,Number_Of_Times_Charted,Week_Of_Highest_Charting,Song_Name,Streams,Artist,Artist_Followers,Song_Id,Genre,Release_Date,Weeks_Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Gender,Age,Type,Country,Genre2,Genre1,Genre_Gen,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting
829,83,3,2020-12-18,Have Yourself A Merry Little Christmas,"9,548,924",Sam Smith,17097317,1Qi2wh8fFgDV7tl4Sj3f2K,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2014-12-05,"2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11",46.0,0.438,0.178,-9.402,0.0414,0.957,0.316,75.248,170964.0,0.344,F,other,28,person,GB,pop,dance pop,dance pop,December,Winter,2020
830,105,26,2020-01-03,Dancing With A Stranger (with Normani),"5,229,835",Sam Smith,17097317,6Qs4SXO9dwPj5GKvVOv8Ki,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2019-01-11,"2020-10-30--2020-11-06
2020-06-19--2020-06-26
2020-06-12--2020-06-19
2020-06-05--2020-06-12
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",78.0,0.741,0.52,-7.513,0.0656,0.45,0.222,102.998,171030.0,0.347,G#/Ab,other,28,person,GB,pop,dance pop,dance pop,January,Winter,2020
831,176,1,2020-10-30,Kids Again,"5,103,194",Sam Smith,17097317,1ABS9lKaZ1uXkXCqr9zFO7,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2020-10-30,2020-10-30--2020-11-06,62.0,0.666,0.726,-2.998,0.0262,0.486,0.0892,128.044,207528.0,0.468,B,other,28,person,GB,pop,dance pop,dance pop,October,Autumn,2020
832,106,4,2020-07-31,My Oasis (feat. Burna Boy),"4,887,204",Sam Smith,17097317,2KoHxhRyWxJzA0VafWd5Nk,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2020-07-30,"2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07",69.0,0.691,0.474,-8.742,0.0583,0.569,0.099,143.783,179917.0,0.381,A#/Bb,other,28,person,GB,pop,dance pop,dance pop,July,Summer,2020
833,27,8,2020-04-17,I’m Ready (with Demi Lovato),"4,764,355",Sam Smith,17097317,1fipvP2zmef6vN2IwXfJhY,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2020-04-16,"2020-06-05--2020-06-12
2020-05-29--2020-06-05
2020-05-22--2020-05-29
2020-05-15--2020-05-22
2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24",68.0,0.501,0.674,-6.363,0.0408,0.00346,0.282,155.051,200838.0,0.152,F,other,28,person,GB,pop,dance pop,dance pop,April,Spring,2020
834,39,20,2020-01-03,How Do You Sleep?,"4,313,625",Sam Smith,17097317,6b2RcmUt1g9N9mQ3CbjX2Y,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2019-07-19,"2020-05-08--2020-05-15
2020-05-01--2020-05-08
2020-04-24--2020-05-01
2020-04-17--2020-04-24
2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",76.0,0.477,0.682,-4.931,0.0925,0.153,0.0763,110.567,202205.0,0.345,C#/Db,other,28,person,GB,pop,dance pop,dance pop,January,Winter,2020
835,30,9,2020-02-14,To Die For,"4,527,835",Sam Smith,17097317,2ZTYlnhhV1UAReg7wIGolx,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2020-02-14,"2020-04-10--2020-04-17
2020-04-03--2020-04-10
2020-03-27--2020-04-03
2020-03-20--2020-03-27
2020-03-13--2020-03-20
2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21",70.0,0.483,0.361,-7.889,0.0738,0.832,0.098,171.649,193795.0,0.307,C,other,28,person,GB,pop,dance pop,dance pop,February,Winter,2020
836,186,2,2020-02-07,Too Good At Goodbyes,"4,984,764",Sam Smith,17097317,3VlbOrM6nYPprVvzBZllE5,"[""['dance pop'"", "" 'pop'"", "" 'post-teen pop'"", "" 'uk pop']""]",2017-11-03,"2020-02-14--2020-02-21
2020-02-07--2020-02-14",72.0,0.681,0.372,-8.237,0.0432,0.64,0.169,91.873,201000.0,0.476,F,other,28,person,GB,pop,dance pop,dance pop,February,Winter,2020
837,17,31,2020-08-07,Caramelo,"4,790,233",Ozuna,29238936,3gD4J3RUHy4OUuZ3qAiaiG,"[""['latin'"", "" 'puerto rican pop'"", "" 'reggaeton'"", "" 'trap latino']""]",2020-06-11,"2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30
2020-10-16--2020-10-23
2020-10-09--2020-10-16
2020-10-02--2020-10-09
2020-09-25--2020-10-02
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19",74.0,0.728,0.806,-3.766,0.0623,0.0531,0.153,168.084,217547.0,0.698,F#/Gb,male,28,person,PR,puerto rican pop,latin,latin,August,Summer,2020
838,192,2,2019-12-27,Fantasía,"4,543,012",Ozuna,29238936,40rXWke6SnXiGkSmaT8ZUr,"[""['latin'"", "" 'puerto rican pop'"", "" 'reggaeton'"", "" 'trap latino']""]",2019-11-29,"2020-01-03--2020-01-10
2019-12-27--2020-01-03",59.0,0.695,0.719,-5.938,0.0903,0.227,0.0884,180.074,175187.0,0.781,D,male,28,person,PR,puerto rican pop,latin,latin,December,Winter,2019
