,Artist,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
154,Rauw Alejandro,Rauw Alejandro (Gradas),https://www.ticketmaster.com.mx/rauw-alejandro-gradas-san-nicolas-de-los-garza-01-06-2023/event/14005E26CDD55EAB,Mexico,San Nicolas De Los Garza,-100.315518,25.718083
155,Lil Wayne,Reading Festival 2023 - Weekend Tickets,https://www.ticketmaster.co.uk/reading-festival-2023-weekend-tickets-reading-24-08-2023/event/37005CA4AE1A39BB,Great Britain,Reading,-0.984937,51.463682
156,Capital Bra,Capital Bra,https://www.ticketmaster.ch/event/capital-bra-tickets/9537?language=en-us,Switzerland,Zürich,8.55166,47.41161
157,Lil Tecca,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
158,H.E.R.,Drag Becomes Her,https://www.universe.com/events/drag-becomes-her-tickets-54JMLR?ref=ticketmaster,United States Of America,Las Vegas,-115.13013,36.11504
159,Madame,Madame Fraize,https://www.ticketmaster.be/event/madame-fraize-tickets/51901,Belgium,Woluwé-Saint-Pierre,4.42711,50.83683
160,Sabrina Carpenter,Sabrina Carpenter,https://www.ticketmaster.com/sabrina-carpenter-hollywood-florida-03-16-2023/event/0D005D89FA62E6CE,United States Of America,Hollywood,-80.2109577,26.0503384
161,Beyoncé,Beyoncé vs Rihanna Valentine's Dance Party,https://www.ticketmaster.com/beyonce-vs-rihanna-valentines-dance-party-washington-district-of-columbia-02-14-2023/event/15005E2A956C18DC,United States Of America,Washington,-77.02373,38.91795
162,Bea Miller,No events,-,-,-,-,-
163,Bas,Farfetched Presents Pete & Bas,https://www.ticketweb.uk/event/farfetched-presents-pete-bas-swx-tickets/12814155?REFERRAL_ID=tmfeed,Great Britain,Bristol,-2.59214808,51.45666317
164,Morgan Wallen,Morgan Wallen,https://www.ticketmaster.com/event/Z7r9jZ1Adjx-o,United States Of America,University,-89.5513,34.3666
165,Daddy Yankee,Celebracion del OG: Daddy Yankee,https://www.ticketweb.com/event/celebracion-del-og-daddy-yankee-amityville-music-hall-tickets/12757485,United States Of America,Amityville,-73.41763,40.678933
166,Myke Towers,No events,-,-,-,-,-
167,Zoe Wees,No events,-,-,-,-,-
168,Darlene Love,Darlene Love,https://www.ticketmaster.com/event/Z7r9jZ1Ad_S4z,United States Of America,Vienna,-77.294899,38.9062
169,The Killers,The Killers,https://www.ticketmaster.com/the-killers-pittsburgh-pennsylvania-03-19-2023/event/16005AF17DEF2052,United States Of America,Pittsburgh,-79.962273,40.443061
170,The Police,The Karma Police,https://www.ticketmaster.ie/the-karma-police-galway-10-02-2023/event/18005D1196852161,Ireland,Galway,-9.058145,53.270087
171,Fleetwood Mac,Fleetwood Mac Mania,https://www.ticketmaster.com/event/Z7r9jZ1Adpb8I,United States Of America,Greensburg,-79.519501,40.340801
172,MARINA,Marina Allen,https://www.ticketmaster.ie/marina-allen-dublin-09-02-2023/event/18005D7D824B1958,Ireland,Dublin,-6.26749,53.3441
173,James Arthur,"Jeannie Rak, Leah T, Arthur James",https://www.ticketweb.com/event/jeannie-rak-leah-t-arthur-sunset-tavern-tickets/12726035,United States Of America,Seattle,-122.385982,47.668095
