,Song_Name,Genre,Subgenre,Subgenre_2,Release_Date,Song_Decade,Streams,Week_Of_Highest_Charting,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Artist,Artist_Followers,Gender,Artist_Generation,Type,Country,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
74,Farewell,hip hop,detroit hip hop,hip hop,2020-01-17,2020s,"8,277,608",2020-01-17,January,Winter,2020,61.0,0.89,0.664,-6.625,0.106,0.00487,0.257,93.007,247733.0,0.467,E,Eminem,46814751,male,Generation X,person,US,SHADY: A Live Band Tribute To The Music Of Eminem,https://www.ticketweb.com/event/shady-a-live-band-tribute-joes-live-rosemont-tickets/12652835,United States Of America,Rosemont,-87.867325,41.979238
75,Chrome Heart Tags,rap,melodic rap,philly rap,2020-03-06,2020s,"8,219,307",2020-03-06,March,Spring,2020,57.0,0.702,0.768,-4.055,0.0669,0.541,0.105,70.056,212821.0,0.574,C,Lil Uzi Vert,11821805,male,Millennial,person,US,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
76,MASSA,hip hop,hip hop,rap,2021-06-25,2020s,"8,218,423",2021-06-25,June,Summer,2021,74.0,0.685,0.855,-6.724,0.438,0.329,0.301,157.181,223719.0,0.46,C#/Db,"Tyler, The Creator",6777818,male,Millennial,person,US,"EARFQUAKE! A Tyler, The Creator Party with Blade Trip",https://www.ticketweb.com/event/earfquake-a-tyler-the-creator-strummers-tickets/12759565,United States Of America,Fresno,-119.8023913,36.7589448
77,Santa Claus Is Coming to Town,pop,canadian pop,canadian pop,2012-11-09,2010s,"8,177,832",2020-12-18,December,Winter,2020,44.0,0.594,0.389,-7.109,0.0517,0.785,0.0313,122.331,171093.0,0.396,A#/Bb,Michael Bublé,4702232,male,Generation X,person,CA,Michael Bublé,https://www.ticketmaster.co.uk/michael-buble-london-26-03-2023/event/35005D3DD22C3F14,Great Britain,London,0.005519,51.501581
78,Everybody,hip hop,hip hop,pittsburgh rap,2020-01-17,2020s,"8,172,098",2020-01-17,January,Winter,2020,62.0,0.875,0.599,-9.077,0.138,0.0333,0.113,152.061,256507.0,0.112,A,Mac Miller,6189454,male,Millennial,person,US,No events,-,-,-,-,-
79,Baby It's Cold Outside (duet with Michael Bublé),other,show tunes,show tunes,2014-10-10,2010s,"8,160,534",2020-12-18,December,Winter,2020,47.0,0.553,0.476,-8.869,0.0649,0.647,0.281,113.401,166147.0,0.558,C,Idina Menzel,353571,female,Generation X,person,US,No events,-,-,-,-,-
80,Cool,dance pop,dance pop,pop,2021-02-11,2020s,"8,136,247",2020-03-27,March,Spring,2020,65.0,0.469,0.785,-4.015,0.0664,0.133,0.0931,89.719,209583.0,0.79,F,Dua Lipa,27167675,female,Generation Z,person,GB,No events,-,-,-,-,-
81,‘tis the damn season,pop,pop,post-teen pop,2020-12-11,2020s,"8,115,520",2020-12-11,December,Winter,2020,66.0,0.575,0.434,-8.193,0.0312,0.735,0.105,145.916,229840.0,0.348,F,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
82,Second Emotion (feat. Travis Scott),pop,canadian pop,pop,2020-02-14,2020s,"8,109,572",2020-02-14,February,Winter,2020,61.0,0.796,0.777,-6.112,0.0567,0.0276,0.095,141.97,202720.0,0.96,B,Justin Bieber,48544923,male,Millennial,person,CA,Justin Bieber,https://www.eticketing.co.uk/asmglobalaberdeen,Great Britain,Aberdeen,-2.190396,57.185147
83,Future Nostalgia,dance pop,dance pop,pop,2021-02-11,2020s,"8,091,754",2020-03-27,March,Spring,2020,65.0,0.875,0.813,-4.502,0.0579,0.00618,0.321,114.993,184882.0,0.859,G,Dua Lipa,27167675,female,Generation Z,person,GB,No events,-,-,-,-,-
84,I Saw Mommy Kissing Santa Claus,other,soul,soul,1970-10-15,1970s,"8,064,361",2020-12-18,December,Winter,2020,44.0,0.583,0.712,-8.222,0.0538,0.263,0.817,128.897,181267.0,0.614,D#/Eb,The Jackson 5,1151360,mixed,Generation X,group,US,When We Were Young,https://on.fgtix.com/trk/f1KT,United States Of America,Las Vegas,-115.158757,36.141833
85,Alfred - Interlude,hip hop,detroit hip hop,hip hop,2020-01-17,2020s,"8,030,151",2020-01-17,January,Winter,2020,57.0,0.429,0.231,-20.43,0.402,0.878,0.279,74.545,30133.0,0.914,F,Eminem,46814751,male,Generation X,person,US,SHADY: A Live Band Tribute To The Music Of Eminem,https://www.ticketweb.com/event/shady-a-live-band-tribute-joes-live-rosemont-tickets/12652835,United States Of America,Rosemont,-87.867325,41.979238
86,ZITTI E BUONI,rock,indie rock italiano,italian pop,2021-03-19,2020s,"7,975,148",2021-05-28,May,Spring,2021,86.0,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787.0,0.644,E,Måneskin,3377762,mixed,Generation Z,group,IT,MÅNESKIN,https://www.ticketmaster.co.uk/maneskin-london-08-05-2023/event/35005C729D8B71A7,Great Britain,London,0.005519,51.501581
87,Teach Me How To Love,pop,canadian pop,dance pop,2020-12-04,2020s,"7,932,101",2020-12-04,December,Winter,2020,68.0,0.592,0.885,-4.944,0.0807,0.0505,0.0843,98.991,202357.0,0.731,A,Shawn Mendes,33893352,male,Generation Z,person,CA,SHAWN MENDES,https://www.eticketing.co.uk/asmglobalmanchester,Great Britain,Manchester,-2.244066,53.488164
88,RUNITUP (feat. Teezo Touchdown),hip hop,hip hop,rap,2021-06-25,2020s,"7,917,707",2021-06-25,June,Summer,2021,75.0,0.665,0.469,-7.778,0.13,0.565,0.219,115.852,229565.0,0.142,A#/Bb,"Tyler, The Creator",6777818,male,Millennial,person,US,"EARFQUAKE! A Tyler, The Creator Party with Blade Trip",https://www.ticketweb.com/event/earfquake-a-tyler-the-creator-strummers-tickets/12759565,United States Of America,Fresno,-119.8023913,36.7589448
